epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.991,0.77297,3.32327,1.11995,0.00356,0.92737,0.2287,0.19146,0.73785,3.98748,1.02137,0.000326923,0.000326923,0.000326923
2,376.931,0.81315,2.59396,1.12351,0.20359,0.35697,0.18606,0.14019,0.87442,4.15153,1.22528,0.000647183,0.000647183,0.000647183
3,548.042,0.84538,2.41894,1.13265,0.32421,0.36344,0.36956,0.2794,1.0648,3.77891,1.2579,0.000954244,0.000954244,0.000954244
4,820.961,0.83071,2.30555,1.13135,0.27152,0.54521,0.39446,0.30804,0.72507,2.97496,1.07547,0.0009406,0.0009406,0.0009406
5,1049.29,0.75867,2.1109,1.10176,0.32428,0.66311,0.46654,0.33645,0.97838,2.51024,1.24724,0.0009208,0.0009208,0.0009208
6,1221.36,0.76516,2.00177,1.09745,0.45209,0.57868,0.49355,0.39454,0.76945,2.30505,1.13959,0.000901,0.000901,0.000901
7,1393.39,0.74368,1.86432,1.07187,0.40075,0.55397,0.51634,0.4132,0.70116,2.15254,1.06387,0.0008812,0.0008812,0.0008812
8,1565.19,0.76091,1.78215,1.07065,0.47724,0.51818,0.55884,0.47065,0.71169,1.83866,1.05614,0.0008614,0.0008614,0.0008614
9,1742.69,0.71533,1.59809,1.06424,0.49623,0.71786,0.65181,0.53543,0.73339,1.63573,1.14822,0.0008416,0.0008416,0.0008416
10,1921.97,0.72635,1.58347,1.05569,0.60098,0.66417,0.72309,0.59183,0.72691,1.52624,1.0446,0.0008218,0.0008218,0.0008218
11,2102.29,0.70587,1.46812,1.0579,0.60271,0.65458,0.72082,0.59682,0.64735,1.49698,0.99103,0.000802,0.000802,0.000802
12,2280.22,0.67653,1.37167,1.03933,0.72716,0.63412,0.75356,0.65089,0.59453,1.35818,0.9673,0.0007822,0.0007822,0.0007822
13,2461.94,0.67533,1.35241,1.04866,0.58115,0.73738,0.69797,0.5637,0.69715,1.34945,1.03251,0.0007624,0.0007624,0.0007624
14,2645.18,0.66566,1.30795,1.03357,0.56049,0.71088,0.71993,0.58866,0.67981,1.26818,1.01998,0.0007426,0.0007426,0.0007426
15,2832.08,0.64142,1.2421,1.03328,0.92778,0.5835,0.78375,0.66092,0.70408,1.14093,1.08001,0.0007228,0.0007228,0.0007228
16,3040.94,0.62111,1.1843,1.017,0.7984,0.62398,0.75456,0.64758,0.61803,1.07368,0.98738,0.000703,0.000703,0.000703
17,3249.71,0.62488,1.17565,1.01131,0.70216,0.73531,0.76951,0.66024,0.59977,1.04802,0.9604,0.0006832,0.0006832,0.0006832
